ts(Global),ts(GNSS),ts(GNSS time),LLH(latitude),LLH(longitude),LLH(altitude),GNSS_qual,GNSS_age,TM(north),TM(east),Heading(GPS),ts(bucket - MC),bucket_x,bucket_y,bucket_z,slope_boom,slope_arm,slope_bucket,swing_angle,track_angle,body_roll,body_pitch,ts(Engine),rpm,fuel_consumption_rate,ts(pressure),p_boom_up,p_boom_down,p_arm_in,p_arm_out,p_bkt_in,p_bkt_out,p_swing_left,p_swing_right,p_pilot_boom_up,p_pilot_boom_down,p_pilot_arm_in,p_pilot_arm_out,p_pilot_bkt_in,p_pilot_bkt_out,p_pilot_swing_left,p_pilot_swing_right,ts(pc),laz_file_name,ts(svo_cam),ts_svo_cam,svo_timestamp
104755.5685,68.00399078, 20251113-10:47:55-550000,35.93919665,126.5488807,7.141,4,1.5,371394749.1,159295261.8,272.127,68.0264231,292.77,7363.73,-2302.64,23.814,-104.621,25.61,87.877,174.7,0.277,1.403,68.09960907,1570,7.35,0,132.6,4.2,12.6,62.4,6.6,51.6,2.4,1.8,3,171,1,4,3,0,143,0,68.03115061, pc_20251113_104755_492.laz,68.10273889, 20251113-104755.561493,1.763E+18
104755.6685,68.10430227, 20251113-10:47:55-650000,35.93919666,126.5488807,7.1436,4,1.6,371394750.6,159295262.2,272.129,68.12632899,293.55,7363.29,-2298.1,23.877,-104.64,25.586,87.873,174.7,0.268,1.422,68.19918202,1547,8.6,0,147,4.2,10.8,64.8,3.6,52.8,10.8,4.8,3,182,7,2,3,1,170,2,68.12940656, pc_20251113_104755_590.laz,68.20800663, 20251113-104755.666799,1.763E+18
104755.7683,68.20641437, 20251113-10:47:55-750000,35.93919667,126.5488807,7.1469,4,0.8,371394751.7,159295261.1,272.13,68.22634928,294,7367.48,-2280.24,24.045,-104.655,25.572,87.874,174.7,0.261,1.443,68.30205941,1534.5,13.5,0,154.2,4.8,9.6,66,2.4,52.8,50.4,7.2,5,191,3,1,1,1,173,6,68.22920347, pc_20251113_104755_690.laz,68.30301456, 20251113-104755.761796,1.763E+18
104755.8684,68.30645075, 20251113-10:47:55-850000,35.93919669,126.5488807,7.1468,4,0.9,371394754.8,159295259.1,272.128,68.32634004,289.45,7379.31,-2240.65,24.375,-104.662,25.566,87.914,174.7,0.261,1.459,68.39883394,1542,15.95,0,151.8,6,9.6,66,2.4,53.4,84,5.4,4,192,0,29,1,4,181,7,68.32927866, pc_20251113_104755_790.laz,68.40625503, 20251113-104755.864980,1.763E+18
104755.9689,68.40589989, 20251113-10:47:55-950000,35.93919669,126.5488807,7.1439,4,0.9,371394757.2,159295259.5,272.079,68.42640253,274.14,7398,-2181.56,24.783,-104.662,25.575,88.033,174.7,0.285,1.403,68.49947132,1543.5,16.9,0,142.8,6.6,10.2,66,3,53.4,103.2,4.2,4,191,8,78,2,2,189,8,68.4297479, pc_20251113_104755_891.laz,68.50488684, 20251113-104755.963607,1.763E+18
104756.0697,68.50646664, 20251113-10:47:56-050000,35.93919669,126.5488809,7.1421,4,1,371394760.7,159295262.2,271.956,68.52636514,254.66,7419.58,-2113.11,25.308,-104.654,25.583,88.189,174.9,0.295,1.394,68.59957781,1548,16.7,0,132.6,7.2,11.4,64.8,4.2,53.4,116.4,4.2,3,188,6,94,0,0,191,7,68.52954508, pc_20251113_104755_990.laz,68.60559789, 20251113-104756.064360,1.763E+18
104756.1688,68.60587276, 20251113-10:47:56-150000,35.93919672,126.548881,7.1399,4,1.1,371394768.9,159295261.4,271.728,68.62634828,224.48,7440.66,-2046.27,25.798,-104.642,25.593,88.428,175.1,0.299,1.365,68.69975564,1547,17.5,0,127.8,6.6,11.4,64.8,4.8,52.8,123.6,3.6,4,182,8,114,0,1,194,3,68.62945744, pc_20251113_104756_090.laz,68.70266775, 20251113-104756.161427,1.763E+18
104756.2687,68.70461678, 20251113-10:47:56-250000,35.93919677,126.5488811,7.1409,4,1.3,371394781.3,159295258.8,271.48,68.7263884,178.23,7458.84,-1987.58,26.246,-104.632,25.596,88.787,175.4,0.308,1.357,68.79927748,1550,18.4,0,129.6,6.6,13.8,76.2,4.8,52.8,135,3.6,4,170,0,125,0,0,195,0,68.73033959, pc_20251113_104756_191.laz,68.80472955, 20251113-104756.263516,1.763E+18
104756.3684,68.80408859, 20251113-10:47:56-350000,35.93919684,126.5488814,7.1414,4,1.4,371394797.2,159295259.5,271.135,68.82644427,122.43,7481.18,-1933.98,26.64,-104.535,25.594,89.218,175.8,0.314,1.355,68.89931437,1547,19.7,0,133.2,6.6,21.6,96,4.8,52.8,151.8,4.8,9,155,0,131,3,38,194,1,68.82924843, pc_20251113_104756_290.laz,68.9029329, 20251113-104756.361729,1.763E+18
104756.4684,68.90441704, 20251113-10:47:56-450000,35.93919692,126.5488816,7.1437,4,1.5,371394816.6,159295257.5,270.682,68.92638769,52.42,7513.37,-1879.34,27.033,-104.295,25.588,89.76,176.4,0.305,1.379,68.99915862,1547,23.65,0,134.4,7.2,28.8,112.8,4.8,53.4,167.4,5.4,11,127,6,143,6,78,192,1,68.92973147, pc_20251113_104756_391.laz,69.00198449, 20251113-104756.460751,1.763E+18
