ts(Global),ts(GNSS),ts(GNSS time),LLH(latitude),LLH(longitude),LLH(altitude),GNSS_qual,GNSS_age,TM(north),TM(east),Heading(GPS),ts(bucket - MC),bucket_x,bucket_y,bucket_z,slope_boom,slope_arm,slope_bucket,swing_angle,track_angle,body_roll,body_pitch,ts(Engine),rpm,fuel_consumption_rate,ts(pressure),p_boom_up,p_boom_down,p_arm_in,p_arm_out,p_bkt_in,p_bkt_out,p_swing_left,p_swing_right,p_pilot_boom_up,p_pilot_boom_down,p_pilot_arm_in,p_pilot_arm_out,p_pilot_bkt_in,p_pilot_bkt_out,p_pilot_swing_left,p_pilot_swing_right,ts(pc),laz_file_name,ts(svo_cam),ts_svo_cam,svo_timestamp,Unnamed: 47,dx,dy,dz,pred_p_pilot_boom_up,pred_p_pilot_boom_down,pred_p_pilot_arm_in,pred_p_pilot_arm_out,pred_p_pilot_bkt_in,pred_p_pilot_bkt_out,pred_p_pilot_swing_left,pred_p_pilot_swing_right,pred_boom_duty,pred_arm_duty,pred_bucket_duty,pred_swing_duty,goal_bucket_x,goal_bucket_y,goal_bucket_z
153734.5714,2.143898962, 20260303-15:37:34-550000,35.93917029,126.5488735,6.767,4,1.5,371391963,159294218.4,264.261,2.180885973,-1041.48,10727.03,-1974.89,4.524,-34.201,6.226,95.713,5.5,-0.045,0.876,2.194864758,800,3.1,0,144.6,2.4,2.4,288,36.6,100.2,2.4,1.8,4,2,3,6,5,3,2,3,2.184100911, pc_20260303_153734_556.laz,-1772519852, ,0,,0,0,0,10.34309765,9.898146625,10.6032611,10.56372074,10.32596108,9.822047736,10.29024502,10.1703205,10.34309765,-10.6032611,-10.32596108,10.29024502,-594.29,6284.5,-2017.37
153734.6715,2.243839609, 20260303-15:37:34-650000,35.93917029,126.5488735,6.7667,4,1.6,371391963.9,159294218.8,264.263,2.280887316,-1041.49,10727.2,-1974.74,4.517,-34.194,6.221,95.712,5.5,-0.045,0.871,2.294608366,800,3.1,0,144.6,2.4,2.4,288,36.6,100.2,2.4,1.8,3,4,4,2,5,5,1,7,2.283947693, pc_20260303_153734_656.laz,-1772519852, ,0,,-0.01,0.17,0.15,10.28562648,9.886660079,10.62575875,10.63627763,10.42368022,9.718149861,10.27810757,10.18112904,10.28562648,10.63627763,-10.42368022,10.27810757,-594.29,6284.5,-2017.37
153734.7715,2.34387595, 20260303-15:37:34-750000,35.93917029,126.5488735,6.7683,4,0.8,371391963.9,159294219.6,264.275,2.380861012,-1041.12,10727.39,-1974.27,4.521,-34.193,6.225,95.71,5.5,-0.045,0.873,2.394495178,801,3.05,0,144.6,2.4,2.4,288,36.6,100.2,2.4,1.8,4,2,0,6,3,0,6,2,2.38438728, pc_20260303_153734_756.laz,-1772519852, ,0,,0.37,0.19,0.47,10.36082569,9.844291883,10.76928895,10.59421537,10.40018927,9.721409884,10.26987158,10.1893642,10.36082569,-10.76928895,-10.40018927,10.26987158,-594.29,6284.5,-2017.37
153734.8714,2.44364675, 20260303-15:37:34-850000,35.93917029,126.5488735,6.7675,4,0.9,371391963.9,159294219.1,264.27,2.480855773,-1041.18,10727.39,-1974.86,4.518,-34.189,6.226,95.711,5.5,-0.046,0.876,2.495147966,800,3.05,0,144.6,2.4,2.4,288,36.6,100.2,2.4,1.8,5,3,6,4,3,5,2,3,2.483958445, pc_20260303_153734_856.laz,-1772519852, ,0,,-0.06,0,-0.59,10.27329974,9.950301564,10.61102027,10.51231816,10.27624601,9.861713658,10.29697139,10.18725456,10.27329974,-10.61102027,-10.27624601,10.29697139,-594.29,6284.5,-2017.37
153734.9714,2.543698784, 20260303-15:37:34-950000,35.9391703,126.5488735,6.7697,4,0.9,371391964.8,159294219.7,264.258,2.580896453,-1041.04,10727.6,-1974.26,4.516,-34.187,6.23,95.71,5.5,-0.047,0.872,2.594287235,800,3.1,0,144.6,2.4,1.8,287.4,36,99.6,2.4,1.8,1,7,2,5,4,3,2,6,2.584051299, pc_20260303_153734_957.laz,-1772519852, ,0,,0.14,0.21,0.6,10.25587856,9.923922168,10.79239921,10.53611223,10.36178096,9.750143025,10.2775134,10.17224828,10.25587856,-10.79239921,-10.36178096,10.2775134,-594.29,6284.5,-2017.37
153735.0714,2.644257745, 20260303-15:37:35-050000,35.9391703,126.5488735,6.7705,4,1,371391964.8,159294220,264.273,2.680967337,-1041.04,10727.56,-1974.11,4.522,-34.19,6.232,95.71,5.5,-0.049,0.876,2.695533481,801.5,3,0,144.6,2.4,2.4,287.4,36.6,99.6,2.4,1.8,5,3,4,2,6,2,7,2,2.684341983, pc_20260303_153735_056.laz,-1772519852, ,0,,0,-0.04,0.15,10.2097599,10.01213733,10.87598643,10.37214343,10.20161537,9.877457319,10.29769999,10.18408698,10.2097599,-10.87598643,-10.20161537,10.29769999,-594.29,6284.5,-2017.37
153735.1714,2.744314926, 20260303-15:37:35-150000,35.9391703,126.5488735,6.77,4,1.1,371391965,159294219,264.256,2.780918808,-1040.89,10727.67,-1974.36,4.519,-34.185,6.233,95.709,5.5,-0.047,0.877,2.794410758,801,3.05,0,144.6,2.4,2.4,287.4,36,99.6,2.4,1.8,4,1,1,5,4,6,7,2,2.784443043, pc_20260303_153735_157.laz,-1772519852, ,0,,0.15,0.11,-0.25,10.2701993,9.963924641,10.73936772,10.45511332,10.23882167,9.87616449,10.29428412,10.1854219,10.2701993,-10.73936772,-10.23882167,10.29428412,-594.29,6284.5,-2017.37
153735.2716,2.844247951, 20260303-15:37:35-250000,35.93917031,126.5488735,6.7705,4,1.3,371391965.5,159294219.2,264.269,2.880876449,-1040.91,10727.73,-1973.95,4.518,-34.187,6.237,95.709,5.5,-0.046,0.874,2.894475111,800,3.1,0,144,2.4,2.4,286.8,36,99.6,2.4,1.8,3,10,6,4,0,3,2,7,2.883928487, pc_20260303_153735_256.laz,-1772519852, ,0,,-0.02,0.06,0.41,10.28021203,9.925534014,10.67944456,10.55944021,10.34394973,9.788233013,10.29080328,10.16112686,10.28021203,-10.67944456,-10.34394973,10.29080328,-594.29,6284.5,-2017.37
153735.3717,2.944109749, 20260303-15:37:35-350000,35.93917031,126.5488735,6.7714,4,1.4,371391965.8,159294218.8,264.269,2.98087559,-1041.54,10727.64,-1974.4,4.517,-34.186,6.24,95.713,5.5,-0.046,0.875,2.995464645,801,3.1,0,144.6,2.4,2.4,286.8,36,99.6,2.4,1.8,4,2,2,3,3,3,6,3,2.98374754, pc_20260303_153735_356.laz,-1772519852, ,0,,-0.63,-0.09,-0.45,10.20686311,10.01487327,10.47521208,10.54904547,10.28137919,9.870940648,10.31827585,10.15224515,10.20686311,10.54904547,-10.28137919,10.31827585,-594.29,6284.5,-2017.37
153735.4716,3.044003187, 20260303-15:37:35-450000,35.9391703,126.5488735,6.7724,4,1.5,371391964.7,159294219.3,264.255,3.080951063,-1042.01,10727.82,-1973.72,4.518,-34.184,6.244,95.715,5.5,-0.045,0.875,3.095190684,800.5,3.05,0,144,2.4,2.4,286.8,36,99.6,2.4,1.8,4,2,5,4,5,6,1,2,3.085023889, pc_20260303_153735_457.laz,-1772519852, ,0,,-0.47,0.18,0.68,10.27141468,9.969034287,10.44661761,10.63515951,10.35509439,9.820778754,10.30971734,10.10522071,10.27141468,10.63515951,-10.35509439,10.30971734,-594.29,6284.5,-2017.37
